原始样本索引,标签ID,类别名称
129,0,alt.atheism
130,0,alt.atheism
131,0,alt.atheism
132,0,alt.atheism
133,0,alt.atheism
134,0,alt.atheism
135,0,alt.atheism
136,0,alt.atheism
137,0,alt.atheism
138,0,alt.atheism
139,0,alt.atheism
140,0,alt.atheism
141,0,alt.atheism
142,0,alt.atheism
143,0,alt.atheism
144,0,alt.atheism
145,0,alt.atheism
146,0,alt.atheism
147,0,alt.atheism
148,0,alt.atheism
149,0,alt.atheism
150,0,alt.atheism
151,0,alt.atheism
152,0,alt.atheism
153,0,alt.atheism
154,0,alt.atheism
155,0,alt.atheism
156,0,alt.atheism
157,0,alt.atheism
158,0,alt.atheism
159,0,alt.atheism
160,0,alt.atheism
161,0,alt.atheism
162,0,alt.atheism
163,0,alt.atheism
164,0,alt.atheism
165,0,alt.atheism
166,0,alt.atheism
167,0,alt.atheism
168,0,alt.atheism
169,0,alt.atheism
170,0,alt.atheism
171,0,alt.atheism
172,0,alt.atheism
173,0,alt.atheism
174,0,alt.atheism
175,0,alt.atheism
176,0,alt.atheism
177,0,alt.atheism
178,0,alt.atheism
179,0,alt.atheism
180,0,alt.atheism
181,0,alt.atheism
182,0,alt.atheism
183,0,alt.atheism
184,0,alt.atheism
185,0,alt.atheism
186,0,alt.atheism
187,0,alt.atheism
188,0,alt.atheism
189,0,alt.atheism
190,0,alt.atheism
191,0,alt.atheism
192,0,alt.atheism
193,0,alt.atheism
194,0,alt.atheism
195,0,alt.atheism
196,0,alt.atheism
197,0,alt.atheism
198,0,alt.atheism
199,0,alt.atheism
200,0,alt.atheism
201,0,alt.atheism
202,0,alt.atheism
203,0,alt.atheism
204,0,alt.atheism
205,0,alt.atheism
206,0,alt.atheism
207,0,alt.atheism
208,0,alt.atheism
209,0,alt.atheism
210,0,alt.atheism
211,0,alt.atheism
212,0,alt.atheism
213,0,alt.atheism
214,0,alt.atheism
215,0,alt.atheism
216,0,alt.atheism
217,0,alt.atheism
218,0,alt.atheism
219,0,alt.atheism
220,0,alt.atheism
221,0,alt.atheism
222,0,alt.atheism
223,0,alt.atheism
224,0,alt.atheism
225,0,alt.atheism
226,0,alt.atheism
227,0,alt.atheism
228,0,alt.atheism
229,0,alt.atheism
230,0,alt.atheism
231,0,alt.atheism
232,0,alt.atheism
233,0,alt.atheism
234,0,alt.atheism
235,0,alt.atheism
236,0,alt.atheism
237,0,alt.atheism
238,0,alt.atheism
239,0,alt.atheism
240,0,alt.atheism
241,0,alt.atheism
242,0,alt.atheism
243,0,alt.atheism
244,0,alt.atheism
245,0,alt.atheism
246,0,alt.atheism
247,0,alt.atheism
248,0,alt.atheism
249,0,alt.atheism
250,0,alt.atheism
251,0,alt.atheism
252,0,alt.atheism
253,0,alt.atheism
254,0,alt.atheism
255,0,alt.atheism
256,0,alt.atheism
257,0,alt.atheism
258,0,alt.atheism
259,0,alt.atheism
260,0,alt.atheism
261,0,alt.atheism
262,0,alt.atheism
263,0,alt.atheism
264,0,alt.atheism
265,0,alt.atheism
266,0,alt.atheism
267,0,alt.atheism
268,0,alt.atheism
269,0,alt.atheism
270,0,alt.atheism
271,0,alt.atheism
272,0,alt.atheism
273,0,alt.atheism
274,0,alt.atheism
275,0,alt.atheism
276,0,alt.atheism
277,0,alt.atheism
278,0,alt.atheism
279,0,alt.atheism
280,0,alt.atheism
281,0,alt.atheism
282,0,alt.atheism
283,0,alt.atheism
284,0,alt.atheism
285,0,alt.atheism
286,0,alt.atheism
287,0,alt.atheism
288,0,alt.atheism
289,0,alt.atheism
290,0,alt.atheism
291,0,alt.atheism
292,0,alt.atheism
293,0,alt.atheism
294,0,alt.atheism
295,0,alt.atheism
296,0,alt.atheism
297,0,alt.atheism
298,0,alt.atheism
299,0,alt.atheism
300,0,alt.atheism
301,0,alt.atheism
302,0,alt.atheism
303,0,alt.atheism
304,0,alt.atheism
305,0,alt.atheism
306,0,alt.atheism
307,0,alt.atheism
308,0,alt.atheism
309,0,alt.atheism
310,0,alt.atheism
311,0,alt.atheism
312,0,alt.atheism
313,0,alt.atheism
314,0,alt.atheism
315,0,alt.atheism
316,0,alt.atheism
317,0,alt.atheism
318,0,alt.atheism
319,0,alt.atheism
320,0,alt.atheism
321,0,alt.atheism
322,0,alt.atheism
323,0,alt.atheism
324,0,alt.atheism
325,0,alt.atheism
326,0,alt.atheism
327,0,alt.atheism
328,0,alt.atheism
329,0,alt.atheism
330,0,alt.atheism
331,0,alt.atheism
332,0,alt.atheism
333,0,alt.atheism
334,0,alt.atheism
335,0,alt.atheism
336,0,alt.atheism
337,0,alt.atheism
338,0,alt.atheism
339,0,alt.atheism
340,0,alt.atheism
341,0,alt.atheism
342,0,alt.atheism
343,0,alt.atheism
344,0,alt.atheism
345,0,alt.atheism
346,0,alt.atheism
347,0,alt.atheism
348,0,alt.atheism
349,0,alt.atheism
350,0,alt.atheism
351,0,alt.atheism
352,0,alt.atheism
353,0,alt.atheism
354,0,alt.atheism
355,0,alt.atheism
356,0,alt.atheism
357,0,alt.atheism
358,0,alt.atheism
359,0,alt.atheism
360,0,alt.atheism
361,0,alt.atheism
362,0,alt.atheism
363,0,alt.atheism
364,0,alt.atheism
365,0,alt.atheism
366,0,alt.atheism
367,0,alt.atheism
368,0,alt.atheism
369,0,alt.atheism
370,0,alt.atheism
371,0,alt.atheism
372,0,alt.atheism
373,0,alt.atheism
374,0,alt.atheism
375,0,alt.atheism
376,0,alt.atheism
377,0,alt.atheism
378,0,alt.atheism
379,0,alt.atheism
380,0,alt.atheism
381,0,alt.atheism
382,0,alt.atheism
383,0,alt.atheism
384,0,alt.atheism
385,0,alt.atheism
386,0,alt.atheism
387,0,alt.atheism
388,0,alt.atheism
389,0,alt.atheism
390,0,alt.atheism
391,0,alt.atheism
392,0,alt.atheism
393,0,alt.atheism
394,0,alt.atheism
395,0,alt.atheism
396,0,alt.atheism
397,0,alt.atheism
398,0,alt.atheism
399,0,alt.atheism
400,0,alt.atheism
401,0,alt.atheism
402,0,alt.atheism
403,0,alt.atheism
404,0,alt.atheism
405,0,alt.atheism
406,0,alt.atheism
407,0,alt.atheism
408,0,alt.atheism
409,0,alt.atheism
410,0,alt.atheism
411,0,alt.atheism
412,0,alt.atheism
413,0,alt.atheism
414,0,alt.atheism
415,0,alt.atheism
416,0,alt.atheism
417,0,alt.atheism
418,0,alt.atheism
419,0,alt.atheism
420,0,alt.atheism
421,0,alt.atheism
422,0,alt.atheism
423,0,alt.atheism
424,0,alt.atheism
425,0,alt.atheism
426,0,alt.atheism
427,0,alt.atheism
428,0,alt.atheism
429,0,alt.atheism
430,0,alt.atheism
431,0,alt.atheism
432,0,alt.atheism
433,0,alt.atheism
434,0,alt.atheism
435,0,alt.atheism
436,0,alt.atheism
437,0,alt.atheism
438,0,alt.atheism
439,0,alt.atheism
440,0,alt.atheism
441,0,alt.atheism
442,0,alt.atheism
443,0,alt.atheism
444,0,alt.atheism
445,0,alt.atheism
446,0,alt.atheism
447,0,alt.atheism
448,0,alt.atheism
449,0,alt.atheism
450,0,alt.atheism
451,0,alt.atheism
452,0,alt.atheism
453,0,alt.atheism
454,0,alt.atheism
455,0,alt.atheism
456,0,alt.atheism
457,0,alt.atheism
458,0,alt.atheism
459,0,alt.atheism
460,0,alt.atheism
461,0,alt.atheism
462,0,alt.atheism
463,0,alt.atheism
464,0,alt.atheism
465,0,alt.atheism
466,0,alt.atheism
467,0,alt.atheism
468,0,alt.atheism
469,0,alt.atheism
470,0,alt.atheism
471,0,alt.atheism
472,0,alt.atheism
473,0,alt.atheism
474,0,alt.atheism
475,0,alt.atheism
476,0,alt.atheism
477,0,alt.atheism
478,0,alt.atheism
479,0,alt.atheism
480,0,alt.atheism
481,0,alt.atheism
482,0,alt.atheism
483,0,alt.atheism
484,0,alt.atheism
485,0,alt.atheism
486,0,alt.atheism
487,0,alt.atheism
488,0,alt.atheism
489,0,alt.atheism
490,0,alt.atheism
491,0,alt.atheism
492,0,alt.atheism
493,0,alt.atheism
494,0,alt.atheism
495,0,alt.atheism
496,0,alt.atheism
497,0,alt.atheism
498,0,alt.atheism
499,0,alt.atheism
500,0,alt.atheism
501,0,alt.atheism
502,0,alt.atheism
503,0,alt.atheism
504,0,alt.atheism
505,0,alt.atheism
506,0,alt.atheism
507,0,alt.atheism
508,0,alt.atheism
509,0,alt.atheism
510,0,alt.atheism
511,0,alt.atheism
512,0,alt.atheism
513,0,alt.atheism
514,0,alt.atheism
515,0,alt.atheism
516,0,alt.atheism
517,0,alt.atheism
518,0,alt.atheism
519,0,alt.atheism
520,0,alt.atheism
521,0,alt.atheism
522,0,alt.atheism
523,0,alt.atheism
524,0,alt.atheism
525,0,alt.atheism
526,0,alt.atheism
527,0,alt.atheism
528,0,alt.atheism
529,0,alt.atheism
530,0,alt.atheism
531,0,alt.atheism
532,0,alt.atheism
533,0,alt.atheism
534,0,alt.atheism
535,0,alt.atheism
536,0,alt.atheism
537,0,alt.atheism
538,0,alt.atheism
539,0,alt.atheism
540,0,alt.atheism
541,0,alt.atheism
542,0,alt.atheism
543,0,alt.atheism
544,0,alt.atheism
545,0,alt.atheism
546,0,alt.atheism
547,0,alt.atheism
548,0,alt.atheism
549,0,alt.atheism
550,0,alt.atheism
551,0,alt.atheism
552,0,alt.atheism
553,0,alt.atheism
554,0,alt.atheism
555,0,alt.atheism
556,0,alt.atheism
557,0,alt.atheism
558,0,alt.atheism
559,0,alt.atheism
560,0,alt.atheism
561,0,alt.atheism
562,0,alt.atheism
563,0,alt.atheism
564,0,alt.atheism
565,0,alt.atheism
566,0,alt.atheism
567,0,alt.atheism
568,0,alt.atheism
569,0,alt.atheism
570,0,alt.atheism
571,0,alt.atheism
572,0,alt.atheism
573,0,alt.atheism
574,0,alt.atheism
575,0,alt.atheism
576,0,alt.atheism
577,0,alt.atheism
578,0,alt.atheism
579,0,alt.atheism
580,0,alt.atheism
581,0,alt.atheism
582,0,alt.atheism
583,0,alt.atheism
584,0,alt.atheism
585,0,alt.atheism
586,0,alt.atheism
587,0,alt.atheism
588,0,alt.atheism
589,0,alt.atheism
590,0,alt.atheism
591,0,alt.atheism
592,0,alt.atheism
593,0,alt.atheism
594,0,alt.atheism
595,0,alt.atheism
596,0,alt.atheism
597,0,alt.atheism
598,0,alt.atheism
599,0,alt.atheism
600,0,alt.atheism
601,0,alt.atheism
602,0,alt.atheism
603,0,alt.atheism
604,0,alt.atheism
605,0,alt.atheism
606,0,alt.atheism
607,0,alt.atheism
608,0,alt.atheism
609,0,alt.atheism
610,0,alt.atheism
611,0,alt.atheism
612,0,alt.atheism
613,0,alt.atheism
614,0,alt.atheism
615,0,alt.atheism
616,0,alt.atheism
617,0,alt.atheism
618,0,alt.atheism
619,0,alt.atheism
620,0,alt.atheism
621,0,alt.atheism
622,0,alt.atheism
623,0,alt.atheism
624,0,alt.atheism
625,0,alt.atheism
626,0,alt.atheism
627,0,alt.atheism
628,0,alt.atheism
629,0,alt.atheism
630,0,alt.atheism
631,0,alt.atheism
632,0,alt.atheism
633,0,alt.atheism
634,0,alt.atheism
635,0,alt.atheism
636,0,alt.atheism
637,0,alt.atheism
638,0,alt.atheism
639,0,alt.atheism
640,0,alt.atheism
641,0,alt.atheism
642,0,alt.atheism
643,0,alt.atheism
644,0,alt.atheism
645,0,alt.atheism
646,0,alt.atheism
647,0,alt.atheism
648,0,alt.atheism
649,0,alt.atheism
650,0,alt.atheism
651,0,alt.atheism
652,0,alt.atheism
653,0,alt.atheism
654,0,alt.atheism
655,0,alt.atheism
656,0,alt.atheism
657,0,alt.atheism
658,0,alt.atheism
659,0,alt.atheism
660,0,alt.atheism
661,0,alt.atheism
662,0,alt.atheism
663,0,alt.atheism
664,0,alt.atheism
665,0,alt.atheism
666,0,alt.atheism
667,0,alt.atheism
668,0,alt.atheism
669,0,alt.atheism
670,0,alt.atheism
671,0,alt.atheism
672,0,alt.atheism
673,0,alt.atheism
674,0,alt.atheism
675,0,alt.atheism
676,0,alt.atheism
677,0,alt.atheism
678,0,alt.atheism
679,0,alt.atheism
680,0,alt.atheism
681,0,alt.atheism
682,0,alt.atheism
683,0,alt.atheism
684,0,alt.atheism
685,0,alt.atheism
686,0,alt.atheism
687,0,alt.atheism
688,0,alt.atheism
689,0,alt.atheism
690,0,alt.atheism
691,0,alt.atheism
692,0,alt.atheism
693,0,alt.atheism
694,0,alt.atheism
695,0,alt.atheism
696,0,alt.atheism
697,0,alt.atheism
698,0,alt.atheism
699,0,alt.atheism
700,0,alt.atheism
701,0,alt.atheism
702,0,alt.atheism
703,0,alt.atheism
704,0,alt.atheism
705,0,alt.atheism
706,0,alt.atheism
707,0,alt.atheism
708,0,alt.atheism
709,0,alt.atheism
710,0,alt.atheism
711,0,alt.atheism
712,0,alt.atheism
713,0,alt.atheism
714,0,alt.atheism
715,0,alt.atheism
716,0,alt.atheism
717,0,alt.atheism
718,0,alt.atheism
719,0,alt.atheism
720,0,alt.atheism
721,0,alt.atheism
722,0,alt.atheism
723,0,alt.atheism
724,0,alt.atheism
725,0,alt.atheism
726,0,alt.atheism
727,0,alt.atheism
728,0,alt.atheism
729,0,alt.atheism
730,0,alt.atheism
731,0,alt.atheism
732,0,alt.atheism
733,0,alt.atheism
734,0,alt.atheism
735,0,alt.atheism
736,0,alt.atheism
737,0,alt.atheism
738,0,alt.atheism
739,0,alt.atheism
740,0,alt.atheism
741,0,alt.atheism
742,0,alt.atheism
743,0,alt.atheism
744,0,alt.atheism
745,0,alt.atheism
746,0,alt.atheism
747,0,alt.atheism
748,0,alt.atheism
749,0,alt.atheism
750,0,alt.atheism
751,0,alt.atheism
752,0,alt.atheism
753,0,alt.atheism
754,0,alt.atheism
755,0,alt.atheism
756,0,alt.atheism
757,0,alt.atheism
758,0,alt.atheism
759,0,alt.atheism
760,0,alt.atheism
761,0,alt.atheism
762,0,alt.atheism
763,0,alt.atheism
764,0,alt.atheism
765,0,alt.atheism
766,0,alt.atheism
767,0,alt.atheism
768,0,alt.atheism
769,0,alt.atheism
770,0,alt.atheism
771,0,alt.atheism
772,0,alt.atheism
773,0,alt.atheism
774,0,alt.atheism
775,0,alt.atheism
776,0,alt.atheism
777,0,alt.atheism
778,0,alt.atheism
779,0,alt.atheism
780,0,alt.atheism
781,0,alt.atheism
782,0,alt.atheism
783,0,alt.atheism
784,0,alt.atheism
785,0,alt.atheism
786,0,alt.atheism
787,0,alt.atheism
788,0,alt.atheism
789,0,alt.atheism
790,0,alt.atheism
791,0,alt.atheism
792,0,alt.atheism
793,0,alt.atheism
794,0,alt.atheism
795,0,alt.atheism
796,0,alt.atheism
797,0,alt.atheism
798,0,alt.atheism
799,0,alt.atheism
800,0,alt.atheism
801,0,alt.atheism
802,0,alt.atheism
803,0,alt.atheism
804,0,alt.atheism
805,0,alt.atheism
806,0,alt.atheism
807,0,alt.atheism
808,0,alt.atheism
809,0,alt.atheism
810,0,alt.atheism
811,0,alt.atheism
812,0,alt.atheism
813,0,alt.atheism
814,0,alt.atheism
815,0,alt.atheism
816,0,alt.atheism
817,0,alt.atheism
818,0,alt.atheism
819,0,alt.atheism
820,0,alt.atheism
821,0,alt.atheism
822,0,alt.atheism
823,0,alt.atheism
824,0,alt.atheism
825,0,alt.atheism
826,0,alt.atheism
827,0,alt.atheism
828,0,alt.atheism
829,0,alt.atheism
830,0,alt.atheism
831,0,alt.atheism
832,0,alt.atheism
833,0,alt.atheism
834,0,alt.atheism
835,0,alt.atheism
836,0,alt.atheism
837,0,alt.atheism
838,0,alt.atheism
839,0,alt.atheism
840,0,alt.atheism
841,0,alt.atheism
842,0,alt.atheism
843,0,alt.atheism
844,0,alt.atheism
845,0,alt.atheism
846,0,alt.atheism
847,0,alt.atheism
848,0,alt.atheism
849,0,alt.atheism
850,0,alt.atheism
851,0,alt.atheism
852,0,alt.atheism
853,0,alt.atheism
854,0,alt.atheism
855,0,alt.atheism
856,0,alt.atheism
857,0,alt.atheism
858,0,alt.atheism
859,0,alt.atheism
860,0,alt.atheism
861,0,alt.atheism
862,0,alt.atheism
863,0,alt.atheism
864,0,alt.atheism
865,0,alt.atheism
866,0,alt.atheism
867,0,alt.atheism
868,0,alt.atheism
869,0,alt.atheism
870,0,alt.atheism
871,0,alt.atheism
872,0,alt.atheism
873,0,alt.atheism
874,0,alt.atheism
875,0,alt.atheism
876,0,alt.atheism
877,0,alt.atheism
878,0,alt.atheism
879,0,alt.atheism
880,0,alt.atheism
881,0,alt.atheism
882,0,alt.atheism
883,0,alt.atheism
884,0,alt.atheism
885,0,alt.atheism
886,0,alt.atheism
887,0,alt.atheism
888,0,alt.atheism
889,0,alt.atheism
890,0,alt.atheism
891,0,alt.atheism
892,0,alt.atheism
893,0,alt.atheism
894,0,alt.atheism
895,0,alt.atheism
896,0,alt.atheism
897,0,alt.atheism
898,0,alt.atheism
899,0,alt.atheism
900,0,alt.atheism
901,0,alt.atheism
902,0,alt.atheism
903,0,alt.atheism
904,0,alt.atheism
905,0,alt.atheism
906,0,alt.atheism
907,0,alt.atheism
908,0,alt.atheism
909,0,alt.atheism
910,0,alt.atheism
911,0,alt.atheism
912,0,alt.atheism
913,0,alt.atheism
914,0,alt.atheism
915,0,alt.atheism
916,0,alt.atheism
917,0,alt.atheism
918,0,alt.atheism
919,0,alt.atheism
920,0,alt.atheism
921,0,alt.atheism
922,0,alt.atheism
923,0,alt.atheism
924,0,alt.atheism
925,0,alt.atheism
926,0,alt.atheism
927,0,alt.atheism
928,0,alt.atheism
929,0,alt.atheism
930,0,alt.atheism
931,0,alt.atheism
932,0,alt.atheism
933,0,alt.atheism
934,0,alt.atheism
935,0,alt.atheism
936,0,alt.atheism
937,0,alt.atheism
938,0,alt.atheism
939,0,alt.atheism
940,0,alt.atheism
941,0,alt.atheism
942,0,alt.atheism
943,0,alt.atheism
944,0,alt.atheism
945,0,alt.atheism
946,0,alt.atheism
947,0,alt.atheism
948,0,alt.atheism
949,0,alt.atheism
950,0,alt.atheism
951,0,alt.atheism
952,0,alt.atheism
953,0,alt.atheism
954,0,alt.atheism
955,0,alt.atheism
956,0,alt.atheism
957,0,alt.atheism
958,0,alt.atheism
959,0,alt.atheism
960,0,alt.atheism
961,0,alt.atheism
962,0,alt.atheism
963,0,alt.atheism
964,0,alt.atheism
965,0,alt.atheism
966,0,alt.atheism
967,0,alt.atheism
968,0,alt.atheism
969,0,alt.atheism
970,0,alt.atheism
971,0,alt.atheism
972,0,alt.atheism
973,0,alt.atheism
974,0,alt.atheism
975,0,alt.atheism
976,0,alt.atheism
977,0,alt.atheism
978,0,alt.atheism
979,0,alt.atheism
980,0,alt.atheism
981,0,alt.atheism
982,0,alt.atheism
983,0,alt.atheism
984,0,alt.atheism
985,0,alt.atheism
986,0,alt.atheism
987,0,alt.atheism
988,0,alt.atheism
989,0,alt.atheism
990,0,alt.atheism
991,0,alt.atheism
992,0,alt.atheism
993,0,alt.atheism
994,0,alt.atheism
995,0,alt.atheism
996,0,alt.atheism
997,0,alt.atheism
998,0,alt.atheism
999,0,alt.atheism
1000,1,comp.graphics
1001,1,comp.graphics
1002,1,comp.graphics
1003,1,comp.graphics
1004,1,comp.graphics
1005,1,comp.graphics
1006,1,comp.graphics
1007,1,comp.graphics
1008,1,comp.graphics
1009,1,comp.graphics
1010,1,comp.graphics
1011,1,comp.graphics
1012,1,comp.graphics
1013,1,comp.graphics
1014,1,comp.graphics
1015,1,comp.graphics
1016,1,comp.graphics
1017,1,comp.graphics
1018,1,comp.graphics
1019,1,comp.graphics
1020,1,comp.graphics
1021,1,comp.graphics
1022,1,comp.graphics
1023,1,comp.graphics
1024,1,comp.graphics
1025,1,comp.graphics
1026,1,comp.graphics
1027,1,comp.graphics
1028,1,comp.graphics
1029,1,comp.graphics
1030,1,comp.graphics
1031,1,comp.graphics
1032,1,comp.graphics
1033,1,comp.graphics
1034,1,comp.graphics
1035,1,comp.graphics
1036,1,comp.graphics
1037,1,comp.graphics
1038,1,comp.graphics
1039,1,comp.graphics
1040,1,comp.graphics
1041,1,comp.graphics
1042,1,comp.graphics
1043,1,comp.graphics
1044,1,comp.graphics
1045,1,comp.graphics
1046,1,comp.graphics
1047,1,comp.graphics
1048,1,comp.graphics
1049,1,comp.graphics
1050,1,comp.graphics
1051,1,comp.graphics
1052,1,comp.graphics
1053,1,comp.graphics
1054,1,comp.graphics
1055,1,comp.graphics
1056,1,comp.graphics
1057,1,comp.graphics
1058,1,comp.graphics
1059,1,comp.graphics
1060,1,comp.graphics
1061,1,comp.graphics
1062,1,comp.graphics
1063,1,comp.graphics
1064,1,comp.graphics
1065,1,comp.graphics
1066,1,comp.graphics
1067,1,comp.graphics
1068,1,comp.graphics
1069,1,comp.graphics
1070,1,comp.graphics
1071,1,comp.graphics
1072,1,comp.graphics
1073,1,comp.graphics
1074,1,comp.graphics
1075,1,comp.graphics
1076,1,comp.graphics
1077,1,comp.graphics
1078,1,comp.graphics
1079,1,comp.graphics
1080,1,comp.graphics
1081,1,comp.graphics
1082,1,comp.graphics
1083,1,comp.graphics
1084,1,comp.graphics
1085,1,comp.graphics
1086,1,comp.graphics
1087,1,comp.graphics
1088,1,comp.graphics
1089,1,comp.graphics
1090,1,comp.graphics
1091,1,comp.graphics
1092,1,comp.graphics
1093,1,comp.graphics
1094,1,comp.graphics
1095,1,comp.graphics
1096,1,comp.graphics
1097,1,comp.graphics
1098,1,comp.graphics
1099,1,comp.graphics
1100,1,comp.graphics
1101,1,comp.graphics
1102,1,comp.graphics
1103,1,comp.graphics
1104,1,comp.graphics
1105,1,comp.graphics
1106,1,comp.graphics
1107,1,comp.graphics
1108,1,comp.graphics
1109,1,comp.graphics
1110,1,comp.graphics
1111,1,comp.graphics
1112,1,comp.graphics
1113,1,comp.graphics
1114,1,comp.graphics
1115,1,comp.graphics
1116,1,comp.graphics
1117,1,comp.graphics
1118,1,comp.graphics
1119,1,comp.graphics
1120,1,comp.graphics
1121,1,comp.graphics
1122,1,comp.graphics
1123,1,comp.graphics
1124,1,comp.graphics
1125,1,comp.graphics
1126,1,comp.graphics
1127,1,comp.graphics
1128,1,comp.graphics
1129,1,comp.graphics
1130,1,comp.graphics
1131,1,comp.graphics
1132,1,comp.graphics
1133,1,comp.graphics
1134,1,comp.graphics
1135,1,comp.graphics
1136,1,comp.graphics
1137,1,comp.graphics
1138,1,comp.graphics
1139,1,comp.graphics
1140,1,comp.graphics
1141,1,comp.graphics
1142,1,comp.graphics
1143,1,comp.graphics
1144,1,comp.graphics
1145,1,comp.graphics
1146,1,comp.graphics
1147,1,comp.graphics
1148,1,comp.graphics
1149,1,comp.graphics
1150,1,comp.graphics
1151,1,comp.graphics
1152,1,comp.graphics
1153,1,comp.graphics
1154,1,comp.graphics
1155,1,comp.graphics
1156,1,comp.graphics
1157,1,comp.graphics
1158,1,comp.graphics
1159,1,comp.graphics
1160,1,comp.graphics
1161,1,comp.graphics
1162,1,comp.graphics
1163,1,comp.graphics
1164,1,comp.graphics
1165,1,comp.graphics
1166,1,comp.graphics
1167,1,comp.graphics
1168,1,comp.graphics
1169,1,comp.graphics
1170,1,comp.graphics
1171,1,comp.graphics
1172,1,comp.graphics
1173,1,comp.graphics
1174,1,comp.graphics
1175,1,comp.graphics
1176,1,comp.graphics
1177,1,comp.graphics
1178,1,comp.graphics
1179,1,comp.graphics
1180,1,comp.graphics
1181,1,comp.graphics
1182,1,comp.graphics
1183,1,comp.graphics
1184,1,comp.graphics
1185,1,comp.graphics
1186,1,comp.graphics
1187,1,comp.graphics
1188,1,comp.graphics
1189,1,comp.graphics
1190,1,comp.graphics
1191,1,comp.graphics
1192,1,comp.graphics
1193,1,comp.graphics
1194,1,comp.graphics
1195,1,comp.graphics
1196,1,comp.graphics
1197,1,comp.graphics
1198,1,comp.graphics
1199,1,comp.graphics
1200,1,comp.graphics
1201,1,comp.graphics
1202,1,comp.graphics
1203,1,comp.graphics
1204,1,comp.graphics
1205,1,comp.graphics
1206,1,comp.graphics
1207,1,comp.graphics
1208,1,comp.graphics
1209,1,comp.graphics
1210,1,comp.graphics
1211,1,comp.graphics
1212,1,comp.graphics
1213,1,comp.graphics
1214,1,comp.graphics
1215,1,comp.graphics
1216,1,comp.graphics
1217,1,comp.graphics
1218,1,comp.graphics
1219,1,comp.graphics
1220,1,comp.graphics
1221,1,comp.graphics
1222,1,comp.graphics
1223,1,comp.graphics
1224,1,comp.graphics
1225,1,comp.graphics
1226,1,comp.graphics
1227,1,comp.graphics
1228,1,comp.graphics
1229,1,comp.graphics
1230,1,comp.graphics
1231,1,comp.graphics
1232,1,comp.graphics
1233,1,comp.graphics
1234,1,comp.graphics
1235,1,comp.graphics
1236,1,comp.graphics
1237,1,comp.graphics
1238,1,comp.graphics
1239,1,comp.graphics
1240,1,comp.graphics
1241,1,comp.graphics
1242,1,comp.graphics
1243,1,comp.graphics
1244,1,comp.graphics
1245,1,comp.graphics
1246,1,comp.graphics
