训练样本索引,标签ID,类别名称
263,7,rec.autos
264,11,sci.crypt
265,7,rec.autos
266,9,rec.sport.baseball
267,15,soc.religion.christian
268,16,talk.politics.guns
269,16,talk.politics.guns
270,6,misc.forsale
271,18,talk.politics.misc
272,6,misc.forsale
273,6,misc.forsale
274,3,comp.sys.ibm.pc.hardware
275,3,comp.sys.ibm.pc.hardware
276,1,comp.graphics
277,2,comp.os.ms-windows.misc
278,2,comp.os.ms-windows.misc
279,10,rec.sport.hockey
280,8,rec.motorcycles
281,2,comp.os.ms-windows.misc
282,2,comp.os.ms-windows.misc
283,19,talk.religion.misc
284,6,misc.forsale
285,4,comp.sys.mac.hardware
286,7,rec.autos
287,7,rec.autos
288,13,sci.med
289,10,rec.sport.hockey
290,6,misc.forsale
291,4,comp.sys.mac.hardware
292,7,rec.autos
293,9,rec.sport.baseball
294,0,alt.atheism
295,10,rec.sport.hockey
296,2,comp.os.ms-windows.misc
297,16,talk.politics.guns
298,8,rec.motorcycles
299,10,rec.sport.hockey
300,17,talk.politics.mideast
301,0,alt.atheism
302,7,rec.autos
303,14,sci.space
304,5,comp.windows.x
305,9,rec.sport.baseball
306,7,rec.autos
307,3,comp.sys.ibm.pc.hardware
308,13,sci.med
309,14,sci.space
310,18,talk.politics.misc
311,9,rec.sport.baseball
312,1,comp.graphics
313,14,sci.space
314,3,comp.sys.ibm.pc.hardware
315,19,talk.religion.misc
316,19,talk.religion.misc
317,2,comp.os.ms-windows.misc
318,2,comp.os.ms-windows.misc
319,7,rec.autos
320,14,sci.space
321,14,sci.space
322,5,comp.windows.x
323,9,rec.sport.baseball
324,2,comp.os.ms-windows.misc
325,10,rec.sport.hockey
326,9,rec.sport.baseball
327,14,sci.space
328,14,sci.space
329,8,rec.motorcycles
330,8,rec.motorcycles
331,2,comp.os.ms-windows.misc
332,4,comp.sys.mac.hardware
333,11,sci.crypt
334,17,talk.politics.mideast
335,14,sci.space
336,7,rec.autos
337,18,talk.politics.misc
338,2,comp.os.ms-windows.misc
339,18,talk.politics.misc
340,0,alt.atheism
341,1,comp.graphics
342,15,soc.religion.christian
343,5,comp.windows.x
344,2,comp.os.ms-windows.misc
345,19,talk.religion.misc
346,1,comp.graphics
347,5,comp.windows.x
348,12,sci.electronics
349,9,rec.sport.baseball
350,2,comp.os.ms-windows.misc
351,1,comp.graphics
352,6,misc.forsale
353,14,sci.space
354,14,sci.space
355,9,rec.sport.baseball
356,1,comp.graphics
357,9,rec.sport.baseball
358,9,rec.sport.baseball
359,9,rec.sport.baseball
360,7,rec.autos
361,6,misc.forsale
362,17,talk.politics.mideast
363,1,comp.graphics
364,2,comp.os.ms-windows.misc
365,10,rec.sport.hockey
366,2,comp.os.ms-windows.misc
367,7,rec.autos
368,6,misc.forsale
369,4,comp.sys.mac.hardware
370,18,talk.politics.misc
371,3,comp.sys.ibm.pc.hardware
372,10,rec.sport.hockey
373,12,sci.electronics
374,14,sci.space
375,9,rec.sport.baseball
376,14,sci.space
377,11,sci.crypt
378,6,misc.forsale
379,4,comp.sys.mac.hardware
380,15,soc.religion.christian
381,13,sci.med
382,6,misc.forsale
383,9,rec.sport.baseball
384,7,rec.autos
385,16,talk.politics.guns
386,15,soc.religion.christian
387,2,comp.os.ms-windows.misc
388,16,talk.politics.guns
389,16,talk.politics.guns
390,14,sci.space
391,0,alt.atheism
392,12,sci.electronics
393,8,rec.motorcycles
394,0,alt.atheism
395,7,rec.autos
396,13,sci.med
397,14,sci.space
398,17,talk.politics.mideast
399,12,sci.electronics
400,3,comp.sys.ibm.pc.hardware
401,14,sci.space
402,0,alt.atheism
403,9,rec.sport.baseball
404,11,sci.crypt
405,2,comp.os.ms-windows.misc
406,6,misc.forsale
407,8,rec.motorcycles
408,5,comp.windows.x
409,1,comp.graphics
410,15,soc.religion.christian
411,1,comp.graphics
412,10,rec.sport.hockey
413,10,rec.sport.hockey
414,19,talk.religion.misc
415,1,comp.graphics
416,3,comp.sys.ibm.pc.hardware
417,10,rec.sport.hockey
418,11,sci.crypt
419,10,rec.sport.hockey
420,17,talk.politics.mideast
421,10,rec.sport.hockey
422,11,sci.crypt
423,6,misc.forsale
424,18,talk.politics.misc
425,16,talk.politics.guns
426,12,sci.electronics
427,6,misc.forsale
428,8,rec.motorcycles
429,17,talk.politics.mideast
430,0,alt.atheism
431,8,rec.motorcycles
432,8,rec.motorcycles
433,6,misc.forsale
434,14,sci.space
435,3,comp.sys.ibm.pc.hardware
436,5,comp.windows.x
437,18,talk.politics.misc
438,19,talk.religion.misc
439,7,rec.autos
440,1,comp.graphics
441,15,soc.religion.christian
442,17,talk.politics.mideast
443,1,comp.graphics
444,18,talk.politics.misc
445,5,comp.windows.x
446,5,comp.windows.x
447,8,rec.motorcycles
448,10,rec.sport.hockey
449,10,rec.sport.hockey
450,15,soc.religion.christian
451,11,sci.crypt
452,5,comp.windows.x
453,12,sci.electronics
454,0,alt.atheism
455,8,rec.motorcycles
456,16,talk.politics.guns
457,14,sci.space
458,14,sci.space
459,18,talk.politics.misc
460,0,alt.atheism
461,1,comp.graphics
462,5,comp.windows.x
463,9,rec.sport.baseball
464,10,rec.sport.hockey
465,13,sci.med
466,15,soc.religion.christian
467,2,comp.os.ms-windows.misc
468,6,misc.forsale
469,0,alt.atheism
470,6,misc.forsale
471,4,comp.sys.mac.hardware
472,19,talk.religion.misc
473,2,comp.os.ms-windows.misc
474,8,rec.motorcycles
475,18,talk.politics.misc
476,9,rec.sport.baseball
477,16,talk.politics.guns
478,19,talk.religion.misc
479,6,misc.forsale
480,5,comp.windows.x
481,19,talk.religion.misc
482,19,talk.religion.misc
483,8,rec.motorcycles
484,17,talk.politics.mideast
485,2,comp.os.ms-windows.misc
486,3,comp.sys.ibm.pc.hardware
487,4,comp.sys.mac.hardware
488,2,comp.os.ms-windows.misc
489,13,sci.med
490,13,sci.med
491,10,rec.sport.hockey
492,6,misc.forsale
493,11,sci.crypt
494,9,rec.sport.baseball
495,14,sci.space
496,1,comp.graphics
497,6,misc.forsale
498,5,comp.windows.x
499,6,misc.forsale
500,0,alt.atheism
501,14,sci.space
502,0,alt.atheism
503,16,talk.politics.guns
504,7,rec.autos
505,6,misc.forsale
506,3,comp.sys.ibm.pc.hardware
507,13,sci.med
508,1,comp.graphics
509,9,rec.sport.baseball
510,0,alt.atheism
511,1,comp.graphics
512,15,soc.religion.christian
513,1,comp.graphics
514,10,rec.sport.hockey
515,5,comp.windows.x
516,1,comp.graphics
517,1,comp.graphics
518,2,comp.os.ms-windows.misc
519,19,talk.religion.misc
520,6,misc.forsale
521,8,rec.motorcycles
522,11,sci.crypt
523,2,comp.os.ms-windows.misc
524,2,comp.os.ms-windows.misc
525,19,talk.religion.misc
526,2,comp.os.ms-windows.misc
527,16,talk.politics.guns
528,11,sci.crypt
529,3,comp.sys.ibm.pc.hardware
530,17,talk.politics.mideast
531,0,alt.atheism
532,6,misc.forsale
533,5,comp.windows.x
534,13,sci.med
535,6,misc.forsale
536,17,talk.politics.mideast
537,14,sci.space
538,1,comp.graphics
539,3,comp.sys.ibm.pc.hardware
540,4,comp.sys.mac.hardware
541,6,misc.forsale
542,15,soc.religion.christian
543,6,misc.forsale
544,8,rec.motorcycles
545,6,misc.forsale
546,17,talk.politics.mideast
547,3,comp.sys.ibm.pc.hardware
548,10,rec.sport.hockey
549,7,rec.autos
550,1,comp.graphics
551,13,sci.med
552,3,comp.sys.ibm.pc.hardware
553,19,talk.religion.misc
554,9,rec.sport.baseball
555,12,sci.electronics
556,4,comp.sys.mac.hardware
557,17,talk.politics.mideast
558,14,sci.space
559,8,rec.motorcycles
560,12,sci.electronics
561,18,talk.politics.misc
562,18,talk.politics.misc
563,10,rec.sport.hockey
564,1,comp.graphics
565,0,alt.atheism
566,2,comp.os.ms-windows.misc
567,2,comp.os.ms-windows.misc
568,5,comp.windows.x
569,17,talk.politics.mideast
570,6,misc.forsale
571,10,rec.sport.hockey
572,2,comp.os.ms-windows.misc
573,5,comp.windows.x
574,13,sci.med
575,6,misc.forsale
576,12,sci.electronics
577,1,comp.graphics
578,2,comp.os.ms-windows.misc
579,8,rec.motorcycles
580,3,comp.sys.ibm.pc.hardware
581,0,alt.atheism
582,18,talk.politics.misc
583,1,comp.graphics
584,8,rec.motorcycles
585,4,comp.sys.mac.hardware
586,3,comp.sys.ibm.pc.hardware
587,1,comp.graphics
588,3,comp.sys.ibm.pc.hardware
589,15,soc.religion.christian
590,13,sci.med
591,19,talk.religion.misc
592,8,rec.motorcycles
593,19,talk.religion.misc
594,1,comp.graphics
595,12,sci.electronics
596,6,misc.forsale
597,14,sci.space
598,12,sci.electronics
599,12,sci.electronics
600,6,misc.forsale
601,4,comp.sys.mac.hardware
602,5,comp.windows.x
603,17,talk.politics.mideast
604,1,comp.graphics
605,9,rec.sport.baseball
606,5,comp.windows.x
607,7,rec.autos
608,4,comp.sys.mac.hardware
609,18,talk.politics.misc
610,10,rec.sport.hockey
611,7,rec.autos
612,1,comp.graphics
613,0,alt.atheism
614,13,sci.med
615,13,sci.med
616,8,rec.motorcycles
617,18,talk.politics.misc
618,7,rec.autos
619,8,rec.motorcycles
620,2,comp.os.ms-windows.misc
621,5,comp.windows.x
622,17,talk.politics.mideast
623,11,sci.crypt
624,17,talk.politics.mideast
625,2,comp.os.ms-windows.misc
626,8,rec.motorcycles
627,1,comp.graphics
628,12,sci.electronics
629,8,rec.motorcycles
630,19,talk.religion.misc
631,7,rec.autos
632,7,rec.autos
633,14,sci.space
634,4,comp.sys.mac.hardware
635,2,comp.os.ms-windows.misc
636,13,sci.med
637,15,soc.religion.christian
638,1,comp.graphics
639,14,sci.space
640,17,talk.politics.mideast
641,17,talk.politics.mideast
642,18,talk.politics.misc
643,16,talk.politics.guns
644,6,misc.forsale
645,19,talk.religion.misc
646,1,comp.graphics
647,4,comp.sys.mac.hardware
648,2,comp.os.ms-windows.misc
649,6,misc.forsale
650,17,talk.politics.mideast
651,11,sci.crypt
652,14,sci.space
653,14,sci.space
654,2,comp.os.ms-windows.misc
655,6,misc.forsale
656,3,comp.sys.ibm.pc.hardware
657,7,rec.autos
658,12,sci.electronics
659,12,sci.electronics
660,6,misc.forsale
661,9,rec.sport.baseball
662,13,sci.med
663,1,comp.graphics
664,14,sci.space
665,16,talk.politics.guns
666,12,sci.electronics
667,12,sci.electronics
668,9,rec.sport.baseball
669,0,alt.atheism
670,2,comp.os.ms-windows.misc
671,16,talk.politics.guns
672,5,comp.windows.x
673,7,rec.autos
674,16,talk.politics.guns
675,2,comp.os.ms-windows.misc
676,6,misc.forsale
677,10,rec.sport.hockey
678,7,rec.autos
679,12,sci.electronics
680,7,rec.autos
681,6,misc.forsale
682,15,soc.religion.christian
683,16,talk.politics.guns
684,1,comp.graphics
685,12,sci.electronics
686,7,rec.autos
687,5,comp.windows.x
688,8,rec.motorcycles
689,1,comp.graphics
690,19,talk.religion.misc
691,2,comp.os.ms-windows.misc
692,9,rec.sport.baseball
693,5,comp.windows.x
694,18,talk.politics.misc
695,12,sci.electronics
696,8,rec.motorcycles
697,11,sci.crypt
698,10,rec.sport.hockey
699,1,comp.graphics
700,11,sci.crypt
701,9,rec.sport.baseball
702,13,sci.med
703,0,alt.atheism
704,5,comp.windows.x
705,17,talk.politics.mideast
706,2,comp.os.ms-windows.misc
707,2,comp.os.ms-windows.misc
708,3,comp.sys.ibm.pc.hardware
709,9,rec.sport.baseball
710,16,talk.politics.guns
711,6,misc.forsale
712,19,talk.religion.misc
713,1,comp.graphics
714,18,talk.politics.misc
715,11,sci.crypt
716,9,rec.sport.baseball
717,4,comp.sys.mac.hardware
718,18,talk.politics.misc
719,15,soc.religion.christian
720,12,sci.electronics
721,4,comp.sys.mac.hardware
722,4,comp.sys.mac.hardware
723,18,talk.politics.misc
724,15,soc.religion.christian
725,18,talk.politics.misc
726,17,talk.politics.mideast
727,6,misc.forsale
728,0,alt.atheism
729,15,soc.religion.christian
730,2,comp.os.ms-windows.misc
731,17,talk.politics.mideast
732,16,talk.politics.guns
733,5,comp.windows.x
734,8,rec.motorcycles
735,8,rec.motorcycles
736,10,rec.sport.hockey
737,3,comp.sys.ibm.pc.hardware
738,8,rec.motorcycles
739,2,comp.os.ms-windows.misc
740,0,alt.atheism
741,8,rec.motorcycles
742,3,comp.sys.ibm.pc.hardware
743,3,comp.sys.ibm.pc.hardware
744,6,misc.forsale
745,6,misc.forsale
746,15,soc.religion.christian
747,15,soc.religion.christian
748,10,rec.sport.hockey
749,0,alt.atheism
750,8,rec.motorcycles
751,18,talk.politics.misc
752,11,sci.crypt
753,3,comp.sys.ibm.pc.hardware
754,12,sci.electronics
755,12,sci.electronics
756,5,comp.windows.x
757,7,rec.autos
758,13,sci.med
759,2,comp.os.ms-windows.misc
760,13,sci.med
761,16,talk.politics.guns
762,2,comp.os.ms-windows.misc
763,4,comp.sys.mac.hardware
764,16,talk.politics.guns
765,14,sci.space
766,17,talk.politics.mideast
767,1,comp.graphics
768,12,sci.electronics
769,2,comp.os.ms-windows.misc
770,1,comp.graphics
771,15,soc.religion.christian
772,1,comp.graphics
773,11,sci.crypt
774,15,soc.religion.christian
775,19,talk.religion.misc
776,15,soc.religion.christian
777,9,rec.sport.baseball
778,4,comp.sys.mac.hardware
779,0,alt.atheism
780,15,soc.religion.christian
781,2,comp.os.ms-windows.misc
782,1,comp.graphics
783,7,rec.autos
784,5,comp.windows.x
785,8,rec.motorcycles
786,14,sci.space
787,18,talk.politics.misc
788,7,rec.autos
789,19,talk.religion.misc
790,18,talk.politics.misc
791,5,comp.windows.x
792,18,talk.politics.misc
793,13,sci.med
794,11,sci.crypt
795,9,rec.sport.baseball
796,5,comp.windows.x
797,18,talk.politics.misc
798,11,sci.crypt
799,19,talk.religion.misc
800,17,talk.politics.mideast
801,1,comp.graphics
802,18,talk.politics.misc
803,11,sci.crypt
804,2,comp.os.ms-windows.misc
805,14,sci.space
806,0,alt.atheism
807,11,sci.crypt
808,3,comp.sys.ibm.pc.hardware
809,19,talk.religion.misc
810,4,comp.sys.mac.hardware
811,0,alt.atheism
812,11,sci.crypt
813,5,comp.windows.x
814,1,comp.graphics
815,10,rec.sport.hockey
816,3,comp.sys.ibm.pc.hardware
817,11,sci.crypt
818,13,sci.med
819,10,rec.sport.hockey
820,17,talk.politics.mideast
821,6,misc.forsale
822,16,talk.politics.guns
823,15,soc.religion.christian
824,4,comp.sys.mac.hardware
825,9,rec.sport.baseball
826,4,comp.sys.mac.hardware
827,17,talk.politics.mideast
828,13,sci.med
829,9,rec.sport.baseball
830,17,talk.politics.mideast
831,7,rec.autos
832,7,rec.autos
833,3,comp.sys.ibm.pc.hardware
834,9,rec.sport.baseball
835,10,rec.sport.hockey
836,16,talk.politics.guns
837,1,comp.graphics
838,4,comp.sys.mac.hardware
839,5,comp.windows.x
840,7,rec.autos
841,0,alt.atheism
842,13,sci.med
843,11,sci.crypt
844,7,rec.autos
845,6,misc.forsale
846,16,talk.politics.guns
847,18,talk.politics.misc
848,6,misc.forsale
849,15,soc.religion.christian
850,5,comp.windows.x
851,15,soc.religion.christian
852,17,talk.politics.mideast
853,1,comp.graphics
854,14,sci.space
855,18,talk.politics.misc
856,11,sci.crypt
857,4,comp.sys.mac.hardware
858,15,soc.religion.christian
859,3,comp.sys.ibm.pc.hardware
860,15,soc.religion.christian
861,10,rec.sport.hockey
862,16,talk.politics.guns
863,10,rec.sport.hockey
864,5,comp.windows.x
865,11,sci.crypt
866,19,talk.religion.misc
867,7,rec.autos
868,14,sci.space
869,11,sci.crypt
870,8,rec.motorcycles
871,16,talk.politics.guns
872,6,misc.forsale
873,12,sci.electronics
874,16,talk.politics.guns
875,7,rec.autos
876,17,talk.politics.mideast
877,4,comp.sys.mac.hardware
878,4,comp.sys.mac.hardware
879,0,alt.atheism
880,17,talk.politics.mideast
881,9,rec.sport.baseball
882,1,comp.graphics
883,17,talk.politics.mideast
884,17,talk.politics.mideast
885,10,rec.sport.hockey
886,18,talk.politics.misc
887,10,rec.sport.hockey
888,6,misc.forsale
889,5,comp.windows.x
890,3,comp.sys.ibm.pc.hardware
891,1,comp.graphics
892,1,comp.graphics
893,11,sci.crypt
894,1,comp.graphics
895,13,sci.med
896,4,comp.sys.mac.hardware
897,9,rec.sport.baseball
898,3,comp.sys.ibm.pc.hardware
899,7,rec.autos
900,0,alt.atheism
901,6,misc.forsale
902,18,talk.politics.misc
903,5,comp.windows.x
904,3,comp.sys.ibm.pc.hardware
905,3,comp.sys.ibm.pc.hardware
906,11,sci.crypt
907,8,rec.motorcycles
908,11,sci.crypt
909,6,misc.forsale
910,17,talk.politics.mideast
911,1,comp.graphics
912,10,rec.sport.hockey
913,8,rec.motorcycles
914,3,comp.sys.ibm.pc.hardware
915,7,rec.autos
916,17,talk.politics.mideast
917,5,comp.windows.x
918,8,rec.motorcycles
919,16,talk.politics.guns
920,2,comp.os.ms-windows.misc
921,9,rec.sport.baseball
922,1,comp.graphics
923,13,sci.med
924,13,sci.med
925,9,rec.sport.baseball
926,19,talk.religion.misc
927,19,talk.religion.misc
928,2,comp.os.ms-windows.misc
929,11,sci.crypt
930,1,comp.graphics
931,8,rec.motorcycles
932,10,rec.sport.hockey
933,18,talk.politics.misc
934,9,rec.sport.baseball
935,12,sci.electronics
936,4,comp.sys.mac.hardware
937,18,talk.politics.misc
938,9,rec.sport.baseball
939,7,rec.autos
940,18,talk.politics.misc
941,12,sci.electronics
942,0,alt.atheism
943,12,sci.electronics
944,12,sci.electronics
945,10,rec.sport.hockey
946,1,comp.graphics
947,14,sci.space
948,1,comp.graphics
949,4,comp.sys.mac.hardware
950,0,alt.atheism
951,9,rec.sport.baseball
952,13,sci.med
953,17,talk.politics.mideast
954,13,sci.med
955,16,talk.politics.guns
956,17,talk.politics.mideast
957,3,comp.sys.ibm.pc.hardware
958,5,comp.windows.x
959,13,sci.med
960,2,comp.os.ms-windows.misc
961,6,misc.forsale
962,18,talk.politics.misc
963,2,comp.os.ms-windows.misc
964,14,sci.space
965,0,alt.atheism
966,3,comp.sys.ibm.pc.hardware
967,8,rec.motorcycles
968,10,rec.sport.hockey
969,15,soc.religion.christian
970,6,misc.forsale
971,15,soc.religion.christian
972,15,soc.religion.christian
973,5,comp.windows.x
974,15,soc.religion.christian
975,10,rec.sport.hockey
976,15,soc.religion.christian
977,13,sci.med
978,0,alt.atheism
979,3,comp.sys.ibm.pc.hardware
980,9,rec.sport.baseball
981,19,talk.religion.misc
982,8,rec.motorcycles
983,3,comp.sys.ibm.pc.hardware
984,12,sci.electronics
985,10,rec.sport.hockey
986,8,rec.motorcycles
987,4,comp.sys.mac.hardware
988,5,comp.windows.x
989,8,rec.motorcycles
990,3,comp.sys.ibm.pc.hardware
991,11,sci.crypt
992,17,talk.politics.mideast
993,2,comp.os.ms-windows.misc
994,17,talk.politics.mideast
995,16,talk.politics.guns
996,4,comp.sys.mac.hardware
997,1,comp.graphics
998,18,talk.politics.misc
999,7,rec.autos
1000,14,sci.space
1001,0,alt.atheism
1002,0,alt.atheism
1003,17,talk.politics.mideast
1004,6,misc.forsale
1005,19,talk.religion.misc
1006,1,comp.graphics
1007,10,rec.sport.hockey
1008,3,comp.sys.ibm.pc.hardware
1009,0,alt.atheism
1010,10,rec.sport.hockey
1011,17,talk.politics.mideast
1012,7,rec.autos
1013,4,comp.sys.mac.hardware
1014,5,comp.windows.x
1015,4,comp.sys.mac.hardware
1016,18,talk.politics.misc
1017,13,sci.med
1018,13,sci.med
1019,16,talk.politics.guns
1020,15,soc.religion.christian
1021,18,talk.politics.misc
1022,18,talk.politics.misc
1023,15,soc.religion.christian
1024,10,rec.sport.hockey
1025,4,comp.sys.mac.hardware
1026,18,talk.politics.misc
1027,10,rec.sport.hockey
1028,17,talk.politics.mideast
1029,0,alt.atheism
1030,7,rec.autos
1031,18,talk.politics.misc
1032,6,misc.forsale
1033,19,talk.religion.misc
1034,13,sci.med
1035,12,sci.electronics
1036,0,alt.atheism
1037,16,talk.politics.guns
1038,14,sci.space
1039,16,talk.politics.guns
1040,12,sci.electronics
1041,2,comp.os.ms-windows.misc
1042,15,soc.religion.christian
1043,1,comp.graphics
1044,13,sci.med
1045,11,sci.crypt
1046,2,comp.os.ms-windows.misc
1047,16,talk.politics.guns
1048,10,rec.sport.hockey
1049,9,rec.sport.baseball
1050,10,rec.sport.hockey
1051,18,talk.politics.misc
1052,6,misc.forsale
1053,16,talk.politics.guns
1054,19,talk.religion.misc
1055,10,rec.sport.hockey
1056,7,rec.autos
1057,9,rec.sport.baseball
1058,13,sci.med
1059,0,alt.atheism
1060,2,comp.os.ms-windows.misc
1061,7,rec.autos
1062,15,soc.religion.christian
1063,12,sci.electronics
1064,12,sci.electronics
1065,14,sci.space
1066,14,sci.space
1067,5,comp.windows.x
1068,10,rec.sport.hockey
1069,7,rec.autos
1070,11,sci.crypt
1071,19,talk.religion.misc
